name,pts,terrain,intervisibility,area1,population,area2
Buritaca 200 (Ciudad Perdida),96,162575,4328,26,1710,813474.290036826
Koskunguena,64,125233,3864,23,1518,535797.90542297
Pirámide (Julepia),32,83473,2406,20.2,1330,283076.000108829
Nulicuandecue,46,48069,0,13,855,377139.979217631
Alto de Mira,20,70843,1495,9.7,640,167984.58223963
Tankua,54,79103,1285,8,522,453803.242024989
Casa Troja,10,21583,558,4.2,275,85311.1727611972
Frontera,8,6019,189,3.6,237,78581.2253927247
Jacinto,12,15481,304,3.6,237,92919.2652094381
Vallecito,26,44781,1739,3.6,237,211321.998885673
Pueblo Indio,13,22761,682,3.6,237,117183.404373367
Lozano,7,20289,538,2.7,178,67945.9876360263
Piedra Redonda,8,10463,158,2.16,145,72407.9821339847
Purgatorio,9,13775,179,2.16,145,85063.4383284393
Zancudo,14,56266,2283,2.16,145,108688.104383041
Tigres,15,23984,40,1.62,107,120644.429714406
Fronterita,3,6026,40,1.44,95,23670.9030443389
Piscina,7,33546,1207,1.08,72,56197.7974501262
Helipuerto II,9,11879,791,1.08,72,90832.9030348769
Páramo,12,38267,1365,1.08,72,97230.2120835128
La Isla,13,9566,354,0.7,46,113689.161492146
La Estrella,4,6486,272,0.54,35,29660.5906908624
Morro enfrente,8,9391,652,0.36,25,74977.1359275963
Finca Jacinto,2,4172,101,0,0,23433.7607357572
Seis Planadas,7,14528,725,0,0,60723.7104014422
Valle Perdido,3,2626,12,0,0,24563.3201379725
Hormiguero,8,7480,71,0,0,65049.5680808342
Gorgona,13,6678,0,0,0,111966.846332812
